Time,PREM_INC,DEATH_OUTGO,DISAB_OUTGO,INIT_EXP,REN_EXP,INIT_COMM,REN_COMM,PHIBEN_OUTGO,PHIBEN_OUTGO_BLL,CR_BEN_OUTGO,RETR_OUTGO,DTH_OUTGO,DREADDIS_OUTGO,TEMPDIS_OUTGO,RIDERC_OUTGO,RISK_ADJ,COVERAGE_UNITS,Year
2038-07-31,262744.459732298,93919.5416764597,6740.68869599045,0,8335.24143290319,15015.8066527944,2745.02841313943,56037.2290499633,0,6.54275144818436,0,0,0,0,0,19965.7699538438,269373498.518551,2022
2038-08-31,262619.257289526,94368.1868957975,6749.86412510541,0,8343.80066529417,6786.4494714578,2736.60622875923,56297.4330740552,0,6.48069162504872,0,0,0,0,0,21149.526974828,268084500.865335,2022
2038-09-30,262468.707094249,94718.4414205628,6771.29525796374,0,8292.63022341084,20664.0481335095,2725.10221995024,55595.4103925816,0,6.41925573184225,0,0,0,0,0,19156.9124963644,267109974.379273,2022
2038-10-31,262272.941995021,94475.4615175847,6861.1971754074,0,8301.53667228929,15951.5071549516,2720.92348175552,55899.5174084403,0,6.35843710147867,0,0,0,0,0,19983.4570008649,265816294.59751,2022
2038-11-30,263333.783246562,95152.419524143,6998.54816112356,0,8310.64969903397,22462.0296754791,2726.26465089014,56270.2853285723,0,6.29822914227177,0,0,0,0,0,19296.086781707,265287605.279269,2022
2038-12-31,265748.696840598,96919.7161622698,7206.38260136746,0,8319.92758378727,24954.6148811756,2875.49320028052,56658.0157554023,0,6.32468859569067,0,0,0,0,0,18677.1839035084,265775153.618871,2022
2039-01-31,266262.973370545,97675.0347400042,7224.88728523223,0,8329.40182354457,18082.7024976546,2852.54832066412,56987.4647339418,0,6.26454662867216,0,0,0,0,0,19956.930114749,265131491.922422,2022
2039-02-28,264836.835371129,97321.6044700034,7183.78361621458,0,8339.07615407904,5746.75671536536,2829.79501154529,57235.0290189848,0,6.20501099263165,0,0,0,0,0,21615.0616111522,263518238.198208,2022
2039-03-31,264304.289932225,97420.9618394298,7196.9661434212,0,8311.96893716739,15878.7868056536,2731.7604682584,56830.8179200992,0,6.14607519079501,0,0,0,0,0,19865.6686659052,262066954.859898,2022
2039-04-30,263955.850874765,97388.9268555818,7212.8168806877,0,8322.04558787092,12527.7491833476,2727.6507658755,57134.7657220552,0,6.30643006439558,0,0,0,0,0,20532.40009887,261041792.902139,2022
