"Month","Total_Premiums","Total_Recoveries","Total_FinReIncomeCF","Total_FinReRepayment","Total_RiskReinsuranceRecoveries","Total_RiskReinsurancePremiums"
229,0,867294.153131648,0,6918767.13815889,867294.153131648,-6918767.13815889
230,0,865594.710381856,0,6907110.24429588,865594.710381856,-6907110.24429588
231,0,866506.168797901,0,6894733.94994769,866506.168797901,-6894733.94994769
232,0,869136.5320989,0,6887604.63252514,869136.5320989,-6887604.63252514
233,0,854877.946571083,0,6871606.86608895,854877.946571083,-6871606.86608895
234,0,854428.018635525,0,6872523.09846811,854428.018635525,-6872523.09846811
235,0,857320.180340627,0,6874169.30905585,857320.180340627,-6874169.30905585
236,0,851605.850795355,0,6842323.24268419,851605.850795355,-6842323.24268419
237,0,852285.534563446,0,6825570.93811209,852285.534563446,-6825570.93811209
238,0,854312.839135806,0,6816500.12512319,854312.839135806,-6816500.12512319
239,0,854824.054286688,0,6805104.43493384,854824.054286688,-6805104.43493384
240,0,854637.346234329,0,6793988.59251023,854637.346234329,-6793988.59251023
241,0,850416.76697533,0,6784630.29508112,850416.76697533,-6784630.29508112
242,0,849741.655571418,0,6773752.10472562,849741.655571418,-6773752.10472562
243,0,847894.50184893,0,6762308.93308651,847894.50184893,-6762308.93308651
244,0,844923.530912452,0,6751146.27014527,844923.530912452,-6751146.27014527
245,0,839815.458275325,0,6745427.03266355,839815.458275325,-6745427.03266355
246,0,836586.815129368,0,6736500.96403769,836586.815129368,-6736500.96403769
247,0,834329.850964783,0,6732258.47144583,834329.850964783,-6732258.47144583
248,0,829979.678567469,0,6704274.25617632,829979.678567469,-6704274.25617632
249,0,828233.315534183,0,6686169.0709099,828233.315534183,-6686169.0709099
250,0,828757.713123174,0,6678932.51558215,828757.713123174,-6678932.51558215
251,0,830162.697428982,0,6671072.52858856,830162.697428982,-6671072.52858856
252,0,829777.770305366,0,6664241.70816328,829777.770305366,-6664241.70816328
253,0,833714.740654578,0,6656665.49366508,833714.740654578,-6656665.49366508
254,0,826952.375874574,0,6637347.19903171,826952.375874574,-6637347.19903171
255,0,829277.94085297,0,6630683.73111114,829277.94085297,-6630683.73111114
256,0,828611.097403918,0,6620431.04286696,828611.097403918,-6620431.04286696
257,0,830118.823929569,0,6617232.25323163,830118.823929569,-6617232.25323163
258,0,833808.575232188,0,6621531.80124758,833808.575232188,-6621531.80124758
259,0,834765.840038233,0,6616118.20292963,834765.840038233,-6616118.20292963
260,0,832564.537583992,0,6585592.38402299,832564.537583992,-6585592.38402299
261,0,831056.687610405,0,6567412.19326492,831056.687610405,-6567412.19326492
262,0,832682.710328287,0,6560805.30379542,832682.710328287,-6560805.30379542
263,0,831121.01041872,0,6544215.28302578,831121.01041872,-6544215.28302578
264,0,833021.477723029,0,6534043.05936445,833021.477723029,-6534043.05936445
265,0,829902.779065376,0,6524059.95921509,829902.779065376,-6524059.95921509
266,0,828458.097216854,0,6511929.0113457,828458.097216854,-6511929.0113457
267,0,829773.936413451,0,6505074.45960878,829773.936413451,-6505074.45960878
268,0,829567.275133844,0,6495855.426201,829567.275133844,-6495855.426201
269,0,830973.238603565,0,6493640.94340332,830973.238603565,-6493640.94340332
