id,year,type,group,portfolio,time,PREM_INC,DEATH_OUTGO,DISAB_OUTGO,INIT_EXP,REN_EXP,INIT_COMM,REN_COMM,PHIBEN_OUTGO,PHIBEN_OUTGO_BLL,CR_BEN_OUTGO,RETR_OUTGO,DTH_OUTGO,DREADDIS_OUTGO,TEMPDIS_OUTGO,RIDERC_OUTGO,RISK_ADJ,COVERAGE_UNITS
,2024,in-force,onerous,1,31/12/2038,3167491.57,985713.31,76876.42,    ,343141.47,227901.66,28947.55,535394.48,    ,322.34,    ,    ,    ,    ,    ,243507.66,4249165512
,2024,in-force,onerous,1,31/01/2039,3164008.93,986815.72,76915.07,    ,343450.68,204148.04,28926.88,537226.57,    ,320.89,    ,    ,    ,    ,    ,247510.88,4228592132
,2024,in-force,onerous,1,28/02/2039,3157394.66,986787.62,76853.63,    ,343780.65,174796.66,28877.25,539000.62,    ,319.29,    ,    ,    ,    ,    ,252078.01,4206419194
,2024,in-force,onerous,1,31/03/2039,3153985.05,987890.2,76891.45,    ,344110.46,204604.68,28856.95,540746.68,    ,317.86,    ,    ,    ,    ,    ,247430.55,4186186161
,2024,in-force,onerous,1,30/04/2039,3153452.26,990007.61,77018.21,    ,344440.91,231399.82,28862.99,542566.88,    ,316.58,    ,    ,    ,    ,    ,243544.3,4167710338
,2024,in-force,onerous,1,31/05/2039,3155152.63,992911.02,77213.63,    ,344773.86,252220.25,28889.46,544488.56,    ,315.42,    ,    ,    ,    ,    ,240827.88,4150632102
,2024,in-force,onerous,1,30/06/2039,3159112.3,996610.36,77478.52,    ,345109.1,273308.59,28936.6,546519.47,    ,314.38,    ,    ,    ,    ,    ,238278.52,4134965597
,2024,in-force,onerous,1,31/07/2039,3156028.53,997472.79,77340.42,    ,345444.55,203768.04,28924.3,548527.43,    ,312.98,    ,    ,    ,    ,    ,247942.98,4114746888
,2024,in-force,onerous,1,31/08/2039,3153242,998420.23,77209.92,    ,345788.49,206357.44,28914.6,550453.6,    ,311.6,    ,    ,    ,    ,    ,247771.8,4094836457
,2024,in-force,onerous,1,30/09/2039,3149671.67,999081.15,77061.05,    ,346145.84,199047.94,28897.32,552359.61,    ,310.21,    ,    ,    ,    ,    ,249175.8,4074662815
,2024,in-force,onerous,1,31/10/2039,3146739.99,999945.48,76927.96,    ,346510.3,204846.82,28885.88,554260.49,    ,308.85,    ,    ,    ,    ,    ,248419.05,4054974657
