"Month","Total_Premiums","Total_Acq","Total_Ren","Total_Claims","Total_Commission"
258,28017525.8017585,0,866914.197981311,12332187.8299811,866914.197981311
259,28010324.8050639,0,813020.17389005,12363438.796052,813020.17389005
260,27897848.0915735,0,565080.257024414,12329412.549748,565080.257024414
261,27811349.9497715,0,731265.591207902,12304315.7774025,731265.591207902
262,27777806.9523365,0,947844.77281258,12314399.8907156,947844.77281258
263,27728177.2765433,0,983686.9944958,12308569.2007733,983686.9944958
264,27697143.7987684,0,940971.928658605,12325054.1581226,940971.928658605
265,27649841.5586147,0,867131.018190964,12324126.2218583,867131.018190964
266,27607425.1653006,0,776640.408278163,12325216.8554164,776640.408278163
267,27571716.1968447,0,793081.668570022,12326198.2186751,793081.668570022
268,27526920.9773039,0,785636.177985793,12331743.3563081,785636.177985793
269,27497248.666073,0,785300.593368742,12352843.5143342,785300.593368742
270,27457206.6633885,0,764818.341639539,12380198.0396617,764818.341639539
271,27439425.7944041,0,699857.790005162,12403637.1453624,699857.790005162
272,27317592.8865234,0,503869.369162579,12370025.4957981,503869.369162579
273,27244990.4248423,0,633323.134998926,12362529.2322114,633323.134998926
274,27203061.5020565,0,837158.357677874,12376456.8155015,837158.357677874
275,27165080.1596186,0,871526.143007531,12380868.8264314,871526.143007531
276,27124804.4936495,0,864389.812049234,12394569.4877842,864389.812049234
277,27080261.5878267,0,762744.569483782,12388614.1450894,762744.569483782
278,27025353.6404667,0,674377.610655196,12383662.6761004,674377.610655196
279,26979615.5958449,0,707667.172133623,12377854.6750299,707667.172133623
280,26938407.9733885,0,689158.813572683,12382263.1743367,689158.813572683
281,26896580.6231312,0,677740.743709649,12393692.2496536,677740.743709649
282,26837893.1863584,0,651810.074908918,12405068.1133898,651810.074908918
283,26806700.5011324,0,582443.587780613,12425362.6079418,582443.587780613
284,26695250.3123563,0,442115.392378178,12388291.939803,442115.392378178
285,26597525.4485774,0,561175.33279658,12364199.2178794,561175.33279658
286,26538660.9610047,0,745477.62349199,12364461.2826898,745477.62349199
287,26487149.6007981,0,770584.193967971,12362255.249753,770584.193967971
288,26444851.7277093,0,762579.26548947,12367197.5258232,762579.26548947
289,26388848.494777,0,668380.333307504,12352397.8427082,668380.333307504
290,26323779.6820795,0,586240.421056388,12343253.797794,586240.421056388
291,26272960.1719646,0,612787.692889018,12333840.8738597,612787.692889018
292,26216699.5245745,0,612575.273886119,12324252.329917,612575.273886119
293,26182810.0000486,0,569334.008797795,12337275.8546519,569334.008797795
294,26155984.2961899,0,554458.06764046,12357829.9782142,554458.06764046
295,26128194.7978811,0,483504.609026691,12376849.1423043,483504.609026691
296,26021202.7460183,0,378313.653525391,12339120.9216505,378313.653525391
297,25936210.5347712,0,479207.081130801,12318447.7356339,479207.081130801
298,25882510.4132698,0,648097.22897087,12317779.1309952,648097.22897087
299,25831012.4887548,0,658822.114708594,12312768.9078101,658822.114708594
300,25798368.9164194,0,653027.567989849,12315859.6400935,653027.567989849
301,25726314.9866718,0,568914.62677073,12301051.7061514,568914.62677073
302,25676737.6349103,0,476909.696515608,12300660.5488731,476909.696515608
303,25633487.3142613,0,527707.75841644,12296236.9552467,527707.75841644
304,25584634.8814934,0,514243.694178661,12305406.3749206,514243.694178661
305,25540733.4237559,0,457113.364293776,12320910.2596434,457113.364293776
306,25512372.8226943,0,441731.433350584,12349153.1630663,441731.433350584
307,25488195.8465168,0,389859.473935158,12372973.1769969,389859.473935158
308,25375536.6106642,0,311805.3218795,12339408.4758632,311805.3218795
309,25291590.8151732,0,405095.069470921,12322378.9622743,405095.069470921
310,25251159.7399054,0,547633.585844053,12332240.8783886,547633.585844053
311,25208916.1788005,0,562471.162092183,12336622.5203735,562471.162092183
312,25167988.4487814,0,540238.882904995,12336357.286774,540238.882904995
313,25115937.897281,0,490101.135082603,12329467.076041,490101.135082603
314,25058540.5917034,0,385453.880298904,12300504.5702366,385453.880298904
315,25006792.5180579,0,423370.45924965,12296007.2630703,423370.45924965
316,24939713.3564603,0,417598.234896261,12299638.4193077,417598.234896261
317,24903192.511025,0,362118.032381062,12320194.0692035,362118.032381062
318,24861029.6518654,0,332841.939427959,12345246.2256435,332841.939427959
319,24820884.9026245,0,289444.522873545,12341280.462966,289444.522873545
320,24714415.2713475,0,254866.454060573,12299868.1940965,254866.454060573
321,24637536.7369606,0,324218.716005987,12290434.1195133,324218.716005987
322,24600213.8959406,0,456519.818955228,12300997.6896046,456519.818955228
323,24560061.1280534,0,468092.752892298,12308283.0705291,468092.752892298
324,24536760.2447398,0,455570.299206738,12319187.978854,455570.299206738
325,24488008.0929771,0,400950.124743554,12308505.5954996,400950.124743554
326,24432962.9744056,0,307467.260039082,12301367.8223787,307467.260039082
327,24369147.8791084,0,350823.245026429,12290702.3733052,350823.245026429
328,24315922.5561277,0,339468.393332906,12282704.6171474,339468.393332906
329,24279469.3234947,0,240686.386184634,12299553.0973324,240686.386184634
330,24247728.0469226,0,245501.776253191,12328881.6913316,245501.776253191
331,24219063.9426288,0,187579.7753648,12343826.977813,187579.7753648
332,24100680.9916625,0,213212.608075466,12301102.2983057,213212.608075466
333,24024070.5733483,0,239988.697402091,12288664.8742226,239988.697402091
334,23990977.8258525,0,352031.458999276,12298467.6752286,352031.458999276
335,23934834.0307369,0,375554.9238224,12290600.6302393,375554.9238224
336,23900762.5761486,0,364593.972166871,12301239.5836012,364593.972166871
337,23844853.2460643,0,284953.753344994,12293119.2297922,284953.753344994
338,23790751.2831272,0,206414.912916587,12289765.1515033,206414.912916587
339,23722845.1749658,0,267084.321156585,12272787.2574714,267084.321156585
340,23672444.9440527,0,250005.632407939,12274127.1007806,250005.632407939
341,23633484.0863113,0,166011.827022113,12293011.8657698,166011.827022113
342,23593317.1471321,0,166808.011983458,12315718.6444988,166808.011983458
343,23551749.5032162,0,55804.312917704,12331742.9026153,55804.312917704
344,23436660.6914982,0,133949.603921811,12292544.0654989,133949.603921811
345,23349817.6461962,0,162424.77549558,12270489.0344932,162424.77549558
346,23301034.2480056,0,275640.449100453,12272706.9254131,275640.449100453
347,23256176.8573605,0,270232.131775863,12275626.6361138,270232.131775863
348,23206032.1690945,0,249639.71854898,12281180.5130308,249639.71854898
349,23147403.4259699,0,204729.717431616,12267139.9356431,204729.717431616
350,23086206.8953973,0,140087.186584977,12255037.2488884,140087.186584977
351,23027569.8920056,0,185733.036321152,12249142.3626203,185733.036321152
352,22975906.9752223,0,165221.705039757,12250343.3314195,165221.705039757
353,22930551.2955315,0,122254.214537683,12251508.8171005,122254.214537683
354,22880752.1708698,0,85108.7153911047,12269355.8950305,85108.7153911047
355,22807030.0607838,0,58729.6450309627,12263490.4233685,58729.6450309627
356,22693264.3860629,0,106505.371940602,12216023.3510204,106505.371940602
357,22613850.9699227,0,96998.1782175321,12198957.263203,96998.1782175321
358,22569556.4467665,0,191511.392873603,12205274.8460738,191511.392873603
359,22523833.091918,0,178866.596004302,12210211.1263214,178866.596004302
360,22476877.0430175,0,190146.187046826,12217353.376919,190146.187046826
361,22425266.0148185,0,144788.877834598,12205745.9908654,144788.877834598
362,22370564.570119,0,63960.41709126,12197277.5857047,63960.41709126
363,22313906.850083,0,101807.094686557,12190831.5826796,101807.094686557
364,22253852.9545743,0,73621.6374880306,12189826.7377989,73621.6374880306
365,22203598.0098301,0,49306.2535140452,12196325.7332371,49306.2535140452
366,22156809.1929938,0,12798.4044067904,12215630.8267425,12798.4044067904
367,22109741.2505758,0,-17420.9825313202,12223618.3176091,-17420.9825313202
368,21986817.7200474,0,70681.9719385916,12158685.032384,70681.9719385916
369,21901048.3070466,0,23715.7630085253,12142597.7314157,23715.7630085253
370,21843911.0610495,0,120977.266152726,12143103.2672722,120977.266152726
371,21800948.8311719,0,93267.2293030772,12142415.1800761,93267.2293030772
372,21758832.0810926,0,103624.6793876,12149176.1246187,103624.6793876
373,21655382.3999511,0,78238.7712980049,12102198.0593913,78238.7712980049
374,21593265.0054815,0,-28465.4450826968,12094068.3398839,-28465.4450826968
