2 Yield Curve and Inflation Rates - 30Jun17 - SAM CPR RiskFree rates;;;
!2;TIME;RFR_PC;RY_PC
*;380;13.9128287142146;3.489742606
*;381;13.9128287142146;3.489742607
*;382;13.9128287142146;3.489742608
*;383;13.9128287142146;3.489742609
*;384;13.9128287142146;3.489742610
*;385;13.9128287142146;3.489742611
*;386;13.9128287142146;3.489742612
*;387;13.9128287142146;3.489742613
*;388;13.9128287142146;3.489742614
*;389;13.9128287142146;3.489742615
*;390;13.9128287142146;3.489742616
*;391;13.9128287142146;3.489742617
*;392;13.9128287142146;3.489742618
*;393;13.9128287142146;3.489742619
*;394;13.9128287142146;3.489742620
*;395;13.9128287142146;3.489742621
*;396;13.9128287142146;3.489742622
*;397;13.9128287142146;3.489742623
*;398;13.9128287142146;3.489742624
*;399;13.9128287142146;3.489742625
*;400;13.9128287142146;3.489742626
*;401;13.9128287142146;3.489742627
*;402;13.9128287142146;3.489742628
*;403;13.9128287142146;3.489742629
*;404;13.9128287142146;3.489742630
*;405;13.9128287142146;3.489742631
*;406;13.9128287142146;3.489742632
*;407;13.9128287142146;3.489742633
*;408;13.9128287142146;3.489742634
*;409;13.9128287142146;3.489742635
*;410;13.9128287142146;3.489742636
*;411;13.9128287142146;3.489742637
*;412;13.9128287142146;3.489742638
*;413;13.9128287142146;3.489742639
*;414;13.9128287142146;3.489742640
*;415;13.9128287142146;3.489742641
*;416;13.9128287142146;3.489742642
*;417;13.9128287142146;3.489742643
*;418;13.9128287142146;3.489742644
*;419;13.9128287142146;3.489742645
*;420;13.9128287142146;3.489742646
*;421;13.9128287142146;3.489742647
*;422;13.9128287142146;3.489742648
*;423;13.9128287142146;3.489742649
*;424;13.9128287142146;3.489742650
*;425;13.9128287142146;3.489742651
*;426;13.9128287142146;3.489742652
*;427;13.9128287142146;3.489742653
*;428;13.9128287142146;3.489742654
*;429;13.9128287142146;3.489742655
*;430;13.9128287142146;3.489742656
*;431;13.9128287142146;3.489742657
*;432;13.9128287142146;3.489742658
*;433;13.9128287142146;3.489742659
*;434;13.9128287142146;3.489742660
*;435;13.9128287142146;3.489742661
*;436;13.9128287142146;3.489742662
*;437;13.9128287142146;3.489742663
*;438;13.9128287142146;3.489742664
*;439;13.9128287142146;3.489742665
*;440;13.9128287142146;3.489742666
*;441;13.9128287142146;3.489742667
*;442;13.9128287142146;3.489742668
*;443;13.9128287142146;3.489742669
*;444;13.9128287142146;3.489742670
*;445;13.9128287142146;3.489742671
*;446;13.9128287142146;3.489742672
*;447;13.9128287142146;3.489742673
*;448;13.9128287142146;3.489742674
*;449;13.9128287142146;3.489742675
*;450;13.9128287142146;3.489742676
*;451;13.9128287142146;3.489742677
*;452;13.9128287142146;3.489742678
*;453;13.9128287142146;3.489742679
*;454;13.9128287142146;3.489742680
*;455;13.9128287142146;3.489742681
*;456;13.9128287142146;3.489742682
*;457;13.9128287142146;3.489742683
*;458;13.9128287142146;3.489742684
*;459;13.9128287142146;3.489742685
*;460;13.9128287142146;3.489742686
*;461;13.9128287142146;3.489742687
*;462;13.9128287142146;3.489742688
*;463;13.9128287142146;3.489742689
*;464;13.9128287142146;3.489742690
*;465;13.9128287142146;3.489742691
*;466;13.9128287142146;3.489742692
*;467;13.9128287142146;3.489742693
*;468;13.9128287142146;3.489742694
*;469;13.9128287142146;3.489742695
*;470;13.9128287142146;3.489742696
*;471;13.9128287142146;3.489742697
*;472;13.9128287142146;3.489742698
*;473;13.9128287142146;3.489742699
*;474;13.9128287142146;3.489742700
*;475;13.9128287142146;3.489742701
*;476;13.9128287142146;3.489742702
*;477;13.9128287142146;3.489742703
*;478;13.9128287142146;3.489742704
*;479;13.9128287142146;3.489742705
*;480;13.9128287142146;3.489742706
*;481;13.9128287142146;3.489742707
*;482;13.9128287142146;3.489742708
*;483;13.9128287142146;3.489742709
*;484;13.9128287142146;3.489742710
*;485;13.9128287142146;3.489742711
*;486;13.9128287142146;3.489742712
*;487;13.9128287142146;3.489742713
*;488;13.9128287142146;3.489742714
*;489;13.9128287142146;3.489742715
*;490;13.9128287142146;3.489742716
*;491;13.9128287142146;3.489742717
*;492;13.9128287142146;3.489742718
*;493;13.9128287142146;3.489742719
*;494;13.9128287142146;3.489742720
*;495;13.9128287142146;3.489742721
*;496;13.9128287142146;3.489742722
*;497;13.9128287142146;3.489742723
*;498;13.9128287142146;3.489742724
*;499;13.9128287142146;3.489742725
*;500;13.9128287142146;3.489742726
*;501;13.9128287142146;3.489742727
*;502;13.9128287142146;3.489742728
*;503;13.9128287142146;3.489742729
*;504;13.9128287142146;3.489742730
*;505;13.9128287142146;3.489742731
*;506;13.9128287142146;3.489742732
*;507;13.9128287142146;3.489742733
*;508;13.9128287142146;3.489742734
*;509;13.9128287142146;3.489742735
*;510;13.9128287142146;3.489742736
*;511;13.9128287142146;3.489742737
*;512;13.9128287142146;3.489742738
*;513;13.9128287142146;3.489742739
*;514;13.9128287142146;3.489742740
*;515;13.9128287142146;3.489742741
*;516;13.9128287142146;3.489742742
*;517;13.9128287142146;3.489742743
*;518;13.9128287142146;3.489742744
*;519;13.9128287142146;3.489742745
*;520;13.9128287142146;3.489742746
*;521;13.9128287142146;3.489742747
*;522;13.9128287142146;3.489742748
*;523;13.9128287142146;3.489742749
*;524;13.9128287142146;3.489742750
*;525;13.9128287142146;3.489742751
*;526;13.9128287142146;3.489742752
*;527;13.9128287142146;3.489742753
*;528;13.9128287142146;3.489742754
