!2;TIME;RFR_PC;RY_PC
*;564;11.35448171;4.496359635
*;565;11.35019456;4.493907422
*;566;11.34590757;4.491455266
*;567;11.34162075;4.489003168
*;568;11.33733409;4.486551128
*;569;11.3330476;4.484099145
*;570;11.32876128;4.48164722
*;571;11.32447512;4.479195352
*;572;11.32018912;4.476743542
*;573;11.31590329;4.474291789
*;574;11.31161762;4.471840094
*;575;11.30733212;4.469388456
*;576;11.30304679;4.466936876
*;577;11.29876162;4.464485354
*;578;11.29447661;4.462033889
*;579;11.29019177;4.459582481
*;580;11.28590709;4.457131131
*;581;11.28162258;4.454679839
*;582;11.27733824;4.452228604
*;583;11.27305405;4.449777427
*;584;11.26877004;4.447326307
*;585;11.26448619;4.444875244
*;586;11.2602025;4.44242424
*;587;11.25591898;4.439973292
*;588;11.25163562;4.437522402
*;589;11.24735243;4.43507157
*;590;11.2430694;4.432620795
*;591;11.23878654;4.430170078
*;592;11.23450385;4.427719418
*;593;11.23022131;4.425268816
*;594;11.22593895;4.422818272
*;595;11.22165674;4.420367784
*;596;11.21737471;4.417917355
*;597;11.21309283;4.415466982
*;598;11.20881113;4.413016668
*;599;11.20452958;4.410566411
*;600;11.20024821;4.408116211
*;601;11.19596699;4.405666069
*;602;11.19168594;4.403215984
*;603;11.18740506;4.400765957
*;604;11.18312434;4.398315987
*;605;11.17884379;4.395866075
*;606;11.1745634;4.39341622
*;607;11.17028317;4.390966423
*;608;11.16600311;4.388516683
*;609;11.16172322;4.386067001
*;610;11.15744349;4.383617376
*;611;11.15316392;4.381167809
*;612;11.14888452;4.378718299
*;613;11.14460529;4.376268847
*;614;11.14032622;4.373819452
*;615;11.13604731;4.371370114
*;616;11.13176857;4.368920835
*;617;11.12748999;4.366471612
*;618;11.12321158;4.364022447
*;619;11.11893333;4.36157334
*;620;11.11465525;4.35912429
*;621;11.11037733;4.356675297
*;622;11.10609958;4.354226362
*;623;11.10182199;4.351777485
*;624;11.09754457;4.349328665
*;625;11.09326731;4.346879902
*;626;11.08899021;4.344431197
*;627;11.08471328;4.341982549
*;628;11.08043652;4.339533959
*;629;11.07615992;4.337085426
*;630;11.07188348;4.334636951
*;631;11.06760721;4.332188533
*;632;11.06333111;4.329740173
*;633;11.05905516;4.32729187
*;634;11.05477939;4.324843624
*;635;11.05050377;4.322395436
*;636;11.04622833;4.319947306
*;637;11.04195304;4.317499232
*;638;11.03767792;4.315051217
*;639;11.03340297;4.312603258
*;640;11.02912818;4.310155358
*;641;11.02485355;4.307707514
*;642;11.02057909;4.305259728
*;643;11.0163048;4.302812
*;644;11.01203067;4.300364329
*;645;11.0077567;4.297916715
*;646;11.0034829;4.295469159
*;647;10.99920926;4.29302166
*;648;10.99493579;4.290574219
