Reporting Date,GIC Code,Premium CFs (Unlinked)(Current Service),Premium CFs (Unlinked)(Future Service),Acquisition Expense CFs (Unlinked)(Current Service),Acquisition Expense CFs (Unlinked)(Future Service),Investment Component CFs (Unlinked),Claim and Other Expense CFs (Unlinked)(Incurred in Current Reporting Period),Claim and Other Expense CFs (Unlinked)(Incurred in Future Reporting Periods),Premium CFs (Linked)(Current Service),Premium CFs (Linked)(Future Service),Acquisition Expense CFs (Linked)(Current Service),Acquisition Expense CFs (Linked)(Future Service),Investment Component CFs (Linked),Claim and Other Expense CFs (Linked)(Incurred in Current Reporting Period),Claim and Other Expense CFs (Linked)(Incurred in Future Reporting Periods),Delay (in Years)
6/30/2017,BLL_1711,0,27980.6242,0,-14703.75076,0,0,-20014.38912,0,0,0,0,0,0,0,15.91666667
6/30/2017,BLL_1711,0,27661.27132,0,439.5784995,0,0,-20088.17154,0,0,0,0,0,0,0,16
6/30/2017,BLL_1711,0,27346.05576,0,417.1511245,0,0,-20088.8732,0,0,0,0,0,0,0,16.08333333
6/30/2017,BLL_1711,0,27034.97918,0,395.1765245,0,0,-20069.83523,0,0,0,0,0,0,0,16.16666667
6/30/2017,BLL_1711,0,26727.6745,0,360.3012084,0,0,-20042.16169,0,0,0,0,0,0,0,16.25
6/30/2017,BLL_1711,0,26423.99575,0,308.3151746,0,0,-20010.50896,0,0,0,0,0,0,0,16.33333333
6/30/2017,BLL_1711,0,26123.85157,0,248.0571253,0,0,-19976.27473,0,0,0,0,0,0,0,16.41666667
6/30/2017,BLL_1711,0,25827.18216,0,218.0364865,0,0,-19940.19707,0,0,0,0,0,0,0,16.5
6/30/2017,BLL_1711,0,25533.94105,0,188.6646936,0,0,-19902.89156,0,0,0,0,0,0,0,16.58333333
6/30/2017,BLL_1711,0,25244.08234,0,159.9307857,0,0,-19864.58022,0,0,0,0,0,0,0,16.66666667
6/30/2017,BLL_1711,0,25296.53465,0,-5367.365219,0,0,-19854.53653,0,0,0,0,0,0,0,16.75
6/30/2017,BLL_1711,0,26018.52058,0,-11863.38531,0,0,-19973.72846,0,0,0,0,0,0,0,16.83333333
6/30/2017,BLL_1711,0,26948.96515,0,-13842.71423,0,0,-20246.00404,0,0,0,0,0,0,0,16.91666667
6/30/2017,BLL_1711,0,26640.56982,0,414.8813695,0,0,-20321.71089,0,0,0,0,0,0,0,17
