"Month","Total_Premiums","Total_Recoveries","Total_FinReIncome","Total_FinReRepayment","Total_RiskReinsuranceRecoveries","Total_RiskReinsurancePremiums"
449,0,93130.7689002608,0,641003.751042647,93130.7689002608,0
450,0,92479.2567642819,0,639538.302860087,92479.2567642819,0
451,0,91787.482593263,0,637574.041353286,91787.482593263,0
452,0,91045.4062611358,0,634994.558333698,91045.4062611358,0
453,0,90366.2179622529,0,633064.243275364,90366.2179622529,0
454,0,89743.3774516975,0,631715.058374137,89743.3774516975,0
455,0,89164.8142107584,0,630816.428287256,89164.8142107584,0
456,0,88630.4933258726,0,630371.763446522,88630.4933258726,0
457,0,88014.9673552491,0,628688.710586429,88014.9673552491,0
458,0,87408.98671395,0,627072.807796176,87408.98671395,0
459,0,86791.4780185232,0,625301.313617003,86791.4780185232,0
460,0,86190.2938040474,0,623667.698618969,86190.2938040474,0
461,0,85606.840465483,0,622187.900992847,85606.840465483,0
462,0,85041.8815138066,0,620871.239906851,85041.8815138066,0
463,0,84432.3769975213,0,619051.181868833,84432.3769975213,0
464,0,83767.6966791404,0,616610.504317929,83767.6966791404,0
465,0,83168.5770356441,0,614822.751460942,83168.5770356441,0
